[ iSerial ]
D073205E77DE

[ shutter speed codes]

[0] 30"
[1] 25"
[2] 20"
[3] 15"
[4] 13"
[5] 10"
[6] 8"
[7] 6"
[8] 5"
[9] 4"
[10] 3.2"
[11] 2.5"
[12] 2"
[13] 1.6"
[14] 1.3"
[15] 1"
[16] 0.8"
[17] 0.6"
[18] 0.5"
[19] 0.4"
[20] 1/3
[21] 1/4
[22] 1/5
[23] 1/6
[24] 1/8
[25] 1/10
[26] 1/13
[27] 1/15
[28] 1/20
[29] 1/25
[30] 1/30
[31] 1/40
[32] 1/50
[33] 1/60
[34] 1/80
[35] 1/100
[36] 1/125
[37] 1/160
[38] 1/200
[39] 1/250
[40] 1/320
[41] 1/400
[42] 1/500
[43] 1/640
[44] 1/800
[45] 1/1,000
[46] 1/1,250
[47] 1/1,600
[48] 1/2,000
[49] 1/2,500
[50] 1/3,200
[51] 1/4,000
[52] 1/5,000
[53] 1/6,400
[54] 1/8,000
